name,Description
retrogressive thaw slump,a slope failure resulting from thawing of ice-rich permafrost.
ridge,"in meteorology, an elongated area of relatively high atmospheric pressure, almost always associated with and most clearly identified as an area of maximum anticyclonic curvature of wind flow."
ridge ice,piled ice formed by ridging.
ridging,"process that occurs when wind, ocean currents, and other forces push sea ice around into piles that rise and form small mountains above the level sea ice surface; ridges are initially thin and transparent with very sharp edges from blocks of ice piling up; also see keels."
rime,"a white or milky and opaque granular deposit of ice formed by the rapid freezing of super-cooled water drops as they impinge upon an exposed object; it is denser and harder than hoarfrost, but lighter, softer, and less transparent than glaze."
ripple marks,corrugation on a snow surface caused by wind (as on sand).
river ice,floating ice formed in rivers.
river talik,a layer or body of unfrozen ground occupying a depression in the permafrost table beneath a river.
rock flour,"a fine powder of silt- and clay-sized particles that a glacier creates as its rock-laden ice scrapes over bedrock; usually flushed out in meltwater streams, causing water to look powdery gray; lakes and oceans that fill with glacier flour may develop a banded appearance."
rock glacier,"looks like a mountain glacier and has active flow; usually includes a poorly sorted mess of rocks and fine material; may include: (1) interstitial ice a meter or so below the surface (ice-cemented), (2) a buried core of ice (ice-cored), and/or (3) rock debris from avalanching snow and rock."
rotten ice,"floating ice which has become honeycombed in the course of melting, and which is in an advanced state of disintegration."
sail,"the part of a ridge above sea level; like a sail on a sailboat, it catches wind and moves the ice."
saline permafrost,permafrost in which part or all of the total water content is unfrozen because of freezing-point depression due to a high dissolved-solids content of the pore water.
salinity,"(1) a general property of aqueous solutions caused by the alkali, alkaline earth, and metal salts of strong acids (Cl, SO4 and NO3) that are not hydrolyzed (2) in soil science, the ratio of the weight of salt in a soil sample to the total weight of the sample."
sand wedge,a wedge-shaped body of sand produced by filling of a thermal contraction crack with sand either blown in from above or washed down the walls of the crack.
sand-wedge polygon,a polygon outlined by sand wedges underlying its boundaries.
sastrugi,wind-driven snow shapes that resemble sand dunes; may form on top of sea ice or land-based snow cover; can vary in size and complexity but often forms parallel to prevailing wind direction.
saturation,"the condition in which the partial pressure of any fluid constituent (water in the atmospheric air) is equal to its maximum possible partial pressure under the existing environmental conditions, such that any increase in the amount of that constituent will initiate within it a change to a more condensed state; evaporation ceases under such conditions."
saturation vapor pressure (water),the maximum amount of water vapor necessary to keep moist air in equilibrium with a surface of pure water; this is the maximum water vapor the air can hold for any given combination of temperature and pressure.
scale,"(1) a series of marks at regular intervals for the purpose of measuring (scale of an instrument, for example, a thermometer) (2) system of units for measuring ( 3) proportion between the size of something and the map, diagram, etc. which represents it (4) order of magnitude of a phenomenon or of a meteorological parameter."
sea ice,any form of ice found at sea which has originated from the freezing of sea water.
sea ice development stage,"A phrase used to classify sea ice for operational purposes using the age of the ice as a proxy for its thickness.  Specific terms such as new ice, nilas, young ice, and multiyear ice are used for each stage of sea ice development."
sea ice extent,see ice extent.
sea ice maximum extent,the day of the year when the sea ice covers the largest area of the Arctic or Antarctic.
sea ice minimum extent,the day of the year when the sea ice covers the smallest area of the Arctic or Antarctic
sea smoke,"evaporation fog formed when water vapor is added to air which is much colder than the vapor's source; most commonly, when very cold air drifts across relatively warm water; also called steam fog."
sea surface temperature,temperature of the water film at the sea surface.
sea-level pressure,"the atmospheric pressure at mean sea level, either directly measured or, most commonly, empirically determined from the observed station pressure."
seasonal freezing index,"the cumulative number of degree-days below 0 degrees Celsius, calculated as the arithmetic sum of all the negative and positive mean daily air temperatures (degrees Celsius) for a specific station during the time period between the highest point in the fall and the lowest point the next spring on the cumulative degree-day time curve."
seasonal frost,the occurrence of ground temperatures below 0 degrees Celsius for only part of the year; see also active layer.
seasonal ice zone,"an area of ocean that extends from the permanent ice zone to the boundary where winter sea ice extent is at a maximum; here, sea ice is present only part of the year; this zone primarily consists of first-year ice."
seasonal snow,(1) snow that accumulates during one season (2) snow that lasts for only one season.
seasonal thawing index,"the cumulative number of degree-days above 0 degrees Celsius, calculated as the arithmetic sum of all the positive and negative mean daily air temperatures (degrees Celsius) for a specific station during the time period between the lowest point in the spring and the highest point the next fall on the cumulative degree-day time curve."
seasonally frozen ground,ground that freezes and thaws annually.
seasonally frozen layer (SFL),the active layer in areas without permafrost.
seasonally thawed ground,ground that thaws and refreezes annually.
seasonally thawed layer (STL),the active layer in permafrost areas.
seasonally-active permafrost,the uppermost layer of the permafrost which undergoes seasonal phase changes due to the lowered thawing temperature and freezing-point depression of its pore water.
second-year ice,"sea ice which has not melted in the first summer of its existence; by the end of the second winter, it attains a thickness of 2 meters (6.6 feet) or more; it stands higher out of the water than first-year ice; summer melting has somewhat smoothed and rounded the hummocks, which accentuation of minor relief by differential melting may have caused others to develop; bare patches and puddles are usually greenish-blue."
sedimentary ogives,"alternating bands of light and dark at the firn limit of a glacier; the light bands are usually young and lightest at the highest level up-glacier, becoming increasingly older and darker as they progress down-glacier."
segregated ice,"ice in discrete layers or ice lenses, formed by ice segregation."
segregation potential,the ratio of the rate of moisture migration to the temperature gradient in a frozen soil near the 0 degrees Celsius isotherm.
semipermanent anticyclone,high pressure area largely predominate during a major portion of the year where an anticyclone appears on the mean monthly pressure charts.
semipermanent depression,slowly moving or motionless cyclone.
sensible heat,same as enthalpy; the heat absorbed or transmitted by a substance during a change of temperature which is not accompanied by a change of state; used in meteorology in contrast to latent heat.
sensible heat polynya,"a polynya that forms from the upwelling of warm (above-freezing) ocean water from lower depths; these can form in mid-ocean areas, far from coasts or other barriers."
serac,an isolated block of ice that is formed where the glacier surface is fractured.
shear strength,"in geology, describes the compressive strength (ability to withstand pushing forces) of soils; results from two internal mechanisms:  cohesion between soil particles, and friction caused by contact between particles; variable among different soils."
shield,"a screen to shield a rain-gauge from the influence of the wind, or to shield a thermometer against insolation."
shore lead,a stretch of navigable water between pack ice and the shore.
short-term strength,the failure strength of a material under a short-term loading (e.g. up to about 10 minutes in a uniaxial compression test).
shortwave radiation,"in meteorology, a term used loosely to distinguish radiation in the visible and near-visible portions of the electromagnetic spectrum (roughly 0.4 to 4.0 microns in wavelength) from longwave (terrestrial) radiation."
shuga,"a form of new ice, composed of spongy, white lumps a few cm across, that tend to form in rough seas; they resemble slushy snow balls."
Siberian high,"an area of high pressure which forms over Siberia in winter, and which is particularly apparent on mean charts of sea-level pressure."
sikussak,"very old, thick sea ice that forms in fjords; it often resembles glacial ice, because snow can pile up on the ice over many years."
single-phase thermosyphon,"a passive heat transfer device, filled with either a liquid or a gas, installed to remove heat from the ground."
sintering,the bonding together of ice crystals.
sleet,"(1) (United States) frozen raindrops that bind on impact with the ground (2) (elsewhere) a mix of rain and snow, a mix of rain and hail, or melting snow."
slope failure,"mass movement of earth material down a slope; includes landslides, mudslides, debris flows, avalanches, etc; speed of movement can be sudden and catastrophic or slow."
slush,a mixture of snow and grease ice.
slush zone,common near the snow line on a relatively flat portion of a glacier where melting snow forms slush.
smog,currently used as a synonym for general air pollution; it was originally created by combining the words smoke and fog.
SNOTEL,"A network of sites that measures SWE with snow pillows, as well as other variables of interest related to snow depth, weather, and soil moisture. These sites are maintained by the Natural Resources Conservation Service (NRCS), an agency within the United States Department of Agriculture (USDA)."
snow,(1) an ice particle formed by deposition of vapor in the atmosphere (2) a collection of loosely bonded ice crystals deposited from the atmosphere; high density snow (greater than 550 kilograms per cubic meter; 34 pounds per cubic foot) is called firn if it is older than one year.
snow barchan,"horseshoe-shaped snowdrift, with the ends pointing down-wind."
snow board,a specially constructed board used to identify the surface of snow that has been recently covered by snowfall.
snow bridge,"an arch formed by snow which has drifted aross a crevasse, forming first a cornice, and ultimately a covering which may completely obscure the opening."
snow core,"a sample of snow, either just the freshly fallen snow or the combined old and new snow on the ground, obtained by pushing a cylinder down through the snow layer and extracting it."
snow cover,"(1) in general, the accumulation of snow on the ground surface (2) the areal extent of snow-covered ground, usually expressed as percent of total area in a given region."
snow density,the mass of snow per unit volume which is equal to the water content of snow divided by its depth.
snow depth,the combined total depth of both old and new snow on the ground.
snow extent,the total land area covered by some amount of snow; typically reported in square kilometers.
snow flurry,snow that falls for short durations and which often changes in intensity; flurries usually produce little accumulation.
snow grains,"precipitation in the form of very small, white opaque ice particles; they resemble snow pellets but are more flattened and elongated, with a diameter less than 1 mm; the solid equivalent of drizzle."
snow layer,a layer of ice crystals with similar size and shape.
snow line,the minimum elevation of snow lying on the ground or glacier surface; the snow line at the end of an ablation season marks a glacier's current equilibrium line.
snow load,the downward force on an object or structure caused by the weight of accumulated snow.
snow patch,relatively small area of snow cover remaining after the main snowmelt period.
snow pellets,"precipitation in the form of small, white opaque ice particles; resemble ice grains, but are round (sometimes conical) and about 2-5 mm in diameter."
snow pillow,"a large, flat instrument that measures and reports the water weight of snowpack on the ground. The weight of water is the snow water equivalent (SWE)."
snow roller,"roll-like snow formation, caused by a unique combination of snow, wind, temperature and moisture"
snow squall,"a brief, but intense fall of snow that greatly reduces visibility and which is often accompanied by strong winds."
snow water equivalent,"the water content obtained if all snowpack at a location melted instantly. Because snow contains a mix of water (ice and liquid) and air, the snow water equivalent (SWE) is less than the depth of the snow on the ground."
snow worm,an oligochaete worm that lives on temperate glaciers or perennial snow; there are several species that range in color from yellowish-brown to reddish-brown or black; they are usually less than 1 millimeter (0.04 inch) in diameter and average about 3 millimeters (0.1 inch) in length; some feed off red algae.
snowblink,"a bright white glare on the underside of clouds, produced by the reflection of light from a snow-covered surface; snowblink is lighter than ice blink, and much lighter than land sky or water sky."
snowbursts,"very intense showers of snow, often of short duration, that greatly restrict visibility and produce periods of rapid snow accumulation."
snowdrift,an accumulation or bank of snow formed when wind blows snow against an obstruction; often considerably thicker than the surrounding snowcover.
snowdrift glacier,a semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a drift glacier.
snowfall,new snow that has fallen out of the atmosphere and accumulated since the previous day or since the previous observation.
snowflake,a cluster of ice crystals that falls from a cloud.
snowmelt,"melting of the snowcover, and also the period during which melting of the snow cover occurs at the end of the winter."
snowpack,"the total snow and ice on the ground, including both new snow and the previous snow and ice which have not melted."
snowstorm,strong wind with snow.
soil wedge,a wedge-shaped body of soil that is different in structure and texture from the surrounding soil.
solar radiation,the total electromagnetic radiation emitted by the sun.
solifluction,slow downslope flow of saturated unfrozen earth materials.
solifluction apron,"a fan-like deposit at the base of a slope, produced by solifluction."
solifluction features,geomorphological features of varying scale produced by the process of solifluction.
solifluction lobe,"an isolated, tongue-shaped solifluction feature, up to 25 meters (27 yards) wide and 150 meters (164 yards) or more long; formed by more rapid solifluction on certain sections of a slope showing variations in gradient."
solifluction sheet,"a broad deposit of nonsorted, water-saturated, locally derived materials that is moving or has moved downslope."
solifluction terrace,"a low step, or bench, with a straight or lobate front, the latter reflecting local differences in the rate of solifluction movement."
solstice,"the point in time when the vertical rays of the sun are striking either the Tropic of Cancer (23 degrees, 30 minutes N, the summer solstice in the northern hemisphere) or the Tropic of Capricorn (23 degrees, 30 minutes S, the winter solstice in the northern hemisphere); represents the longest or shortest day of the year; in the northern hemisphere, the summer solstice falls on or about 21 June, and the winter solstice on or about 22 December."
sorted circle,"a patterned ground form that is equidimensional in several directions, with a dominantly circular outline, and a sorted appearance commonly due to a border of stones surrounding a central area of finer material."
sorted net,"a type of patterned ground with cells that are equidimensional in several directions, neither dominantly circular nor polygonal, with a sorted appearance commonly due to borders of stones surrounding central areas of finer material."
sorted polygon,"a patterned ground form that is equidimensional in several directions, with a dominantly polygonal outline, and a sorted appearance commonly due to a border of stones surrounding a central area of finer material."
sorted step,a patterned ground feature with a step-like form and a downslope border of stones embanking an area of relatively fine-grained bare ground upslope.
sorted stripe,"patterned ground with a striped and sorted appearance, due to parallel strips of stones and intervening strips of finer material, oriented down the steepest available slope."
south pole,"90° S latitude; one of the two points where the Earth's axis of rotation meets the Earth's surface (the other being the north pole, diametrically opposite)."
specific heat capacity,the amount of heat required to raise the temperature of a unit mass of a substance by one degree.
specific humidity,"the mass of water vapor per unit mass of air, including the water vapor (usually expressed as grams of water vapor per kilogram of air)."
splay crevasse,a crevasse pattern that forms where ice slowly spreads out sideways; commonly found near a glacier terminus.
sporadic discontinuous permafrost,(1) (North American usage) permafrost underlying 10 - 50% of the exposed land surface (2) (Russian usage) permafrost underlying 5 - 30% of the exposed land surface.
spring equinox,"either of the two points of intersection of the sun's apparent annual path and the plane of the earth's equator; in the northern hemisphere, the spring (vernal) equinox falls on or about 21 March, and the autumnal equinox on or about 22 September."
stable air mass,"air mass having static stability in its lower layers; it is free from convection, has a low degree of turbulence and may have stratiform clouds or fog, or no clouds."
stamukhi,"thick ridges that become grounded during the winter and become part of the fast ice zone; while the rest of the fast ice melts during the summer, a stamukhi remains throughout the summer attached to the ocean bottom."
standard deviation,"Statistical measurement of the variation in a distribution: In science, standard deviation serves as measure of the spread of the data, or how likely a data point will fall close to the mean."
static cryosol,"a mineral soil showing little or no evidence of cryoturbation, with permafrost within 1 meter (3.3 feet) below the surface."
station pressure,atmospheric pressure observed at a station.
steam fog,"evaporation fog formed when water vapor is added to air which is much colder than the vapor's source; most commonly, when very cold air drifts across relatively warm water; also called sea smoke."
steering flow,"in meteorology, a basic fluid flow which exerts a strong influence upon the direction of movement of disturbances embedded in it; in the atmosphere, it is usually an air flow in the middle or upper troposphere which govern directions of the disturbances at low levels."
stone earth circle,a type of nonsorted circle developed in gravelly materials.
stone garland,"the downslope border of stones along a sorted step, embanking an area of relatively fine-grained bare ground upslope."
stone-banked (solifluction) lobe,a solifluction lobe with a stony front.
stone-banked (solifluction) terrace,a solifluction terrace with a stony front.
strand crack,"a fissure at the junction between an inland ice sheet, ice piedmont or ice rise and an ice shelf, the latter being subject to the rise and fall of the tide."
stratocumulus,"a principal low-level cloud type (cloud genus), predominantly stratiform, in the form of relatively low gray and/or whitish layer, sheet or patch; its elements are often arranged in bands or rolls that lie across the wind; light rain, snow, or sleet may fall from stratocumulus."
stratopause,the boundary layer between the stratosphere and the mesosphere at about 50 to 55 kilometers (31 to 34 miles).
stratosphere,"a layer of the Earths atmosphere, between the troposphere and mesosphere, that is stratified in temperature such that cooler layers are closer to the Earths surface, and warmer layers are higher up (opposite the pattern of the troposphere near the Earths surface); situated between about 10 to 50 kilometers (6 to 31 miles) in altitude above the surface of the moderate latitudes; at the poles, it starts at about 8 km in altitude; composition is basically the same as that of the lower atmosphere, with the addition of ozone."
stratus,"a principal low-level cloud type (cloud genus) in the form of a low-altitude, light to dark gray cloud layer with a rather uniform base; generally diffuse and dull; this cloud formation has little structure and looks like fog, except that it is above the ground, stratus does not usually produce precipitation, but when it does occur, it is in the form of minute particles, such as drizzle, ice crystals, or fine snow grains."
string fen,"a peatland with roughly parallel narrow ridges of peat dominated by fenland vegetation interspersed with slight depressions, many of which contain shallow pools."
strip,"a long narrow area of pack ice, about 1 kilometer (0.6 mile) or less in width, usually composed of small fragments detatched from the main mass of ice, and run together under the influence of wind or current."
subglacial permafrost,permafrost beneath a glacier.
subglacial talik,a layer or body of unfrozen ground beneath a glacier in an area with permafrost.
sublimation,"the transition of a substance from the solid phase directly to the vapor phase, or vice versa, without passing through an intermediate liquid phase."
sublimation ice,ice formed by reverse sublimation of water vapour on cold surfaces.
subpermafrost water,water occurring in the noncryotic ground below the permafrost.
subpolar glacier,"a glacier whose temperature regime is between polar and temperate; usually predominantly below freezing, but could experience extensive summer melt."
subsea permafrost,permafrost occurring beneath the sea bottom.
subsea talik,"a layer or body of unfrozen ground beneath the seabottom, and forming part of the subsea permafrost."
subsetting,Provides the ability to narrow your search by providing specific temporal ranges and or spatial coordinates.
summer minimum extent,the permanent ice zone that remains in summer after all melting has occurred.
sun cups,ablation hollows that develop during intense sunshine.
sunspot,"dark spot on the sun, with cooler-than-average temperatures and strong magnetic activity"
supercooled,the condition when a liquid remains in the liquid state even through its temperature is below its freezing point.
supercooling,"cooling of a liquid to a temperature below its freezing point, without causing solidification."
supersaturation,the condition which occurs in the atmosphere when the relative humidity is greater than 100%.
supraglacial moraine,dust and/or rock that rides the surface of a glacier.
suprapermafrost water,water occurring in unfrozen ground above perennially frozen ground.
surface cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which coarser soil particles have vertical or near-vertical orientation."
surface freezing index,"the cumulative number of degree-days below 0 degrees Celsius for the surface temperature (of the ground, pavement, etc.) during a given time period."
surface hoar,the deposition (sublimation) of ice crystals on a surface which occurs when the temperature of the surface is colder than the air above and colder than the frost point of that air.
surface observation,"a meteorological observation made on the earth's surface, in contrast with an upper-air observation."
surface temperature,"the ambient temperature indicated by a thermometer exposed to the air but sheltered from direct solar radiation, or placed in an instrument shelter 1.5 - 2.0 meters (5.0 - 6.6 feet) above ground; also called air temperature."
surface thawing index,"the cumulative number of degree-days above 0°C for the surface temperature (of the ground, pavement, etc.) during a given period."
surface wind,"wind blowing near the earth's surface; it is measured, by convention, at a height of 10 meters (33 feet) above ground in an area where the distance between the anemometer and any obstruction is at least 10 times the height of the obstruction."
surging glacier,"a glacier that experiences a dramatic increase in flow rate, 10 to 100 times faster than its normal rate; usually surge events last less than one year and occur periodically, between 15 and 100 years."
suscitic cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which coarser soil particles have vertical or near-vertical orientation."
suspensoid,a substance dispersed throughout another substance; also called suspended phase.
syngenetic ice,ground ice developed during the formation of syngenetic permafrost.
syngenetic ice wedge,an ice wedge developed during the formation of syngenetic permafrost.
syngenetic permafrost,permafrost that formed through a rise of the permafrost table during the deposition of additional sediment or other earth material on the ground surface.
synoptic analysis,"the study of the synoptic observation data plotted on synoptic charts aimed at analysis of the atmospheric disturbances (for example, fronts, cyclones, and anticyclones)."
synoptic chart,a weather chart reflecting the state of the atmosphere over a large area at a given moment.
synoptic code,"a code approved by the World Meteorological Organization, by which meteorological elements observed at the earth's surface at synoptic times are encoded in groups of five figures and transmitted internationally through the GTS (Global Telecommunications System)."
synoptic hour,"hour (UTC - Coordinated Universal Time) determined by international agreement at which meteorological observations are made simultaneously throughout the world; the primary synoptic hours are every six hours, commencing at 00:00 UTC."
synoptic meteorology,"the study and analysis of synoptic weather information (synoptic charts, synoptic weather observations); thus, it is a study of macro-scale atmospheric processes, as well as weather prediction based on results of synoptic studies."
synoptic weather observation,"an observation made at periodic times (usually at 3-hour and 6-hour intervals specified by the World Meteorological Organization) of sky cover, state of the sky, cloud height, atmospheric pressure at sea level, temperature, dew point, wind speed and direction, amount of precipitation, hydrometeors and lithometeors, and special phenomena that prevail at the time of the observation or observed since the previous specified observation."
synoptic-scale,the scale of the high- and low-pressure systems of the lower atmosphere; dimensions typically range from 1000 to 2500 kilometers (620 to 1550 miles; synoptic-scale circulation).
tabular berg,a flat-topped iceberg that shows horizontal banding; typically form by breaking from an ice shelf.
taiga,"the open northern part of the boreal forest; consists of open woodland of coniferous trees growing in a rich floor of lichen (mainly reindeer moss or caribou moss), and is generally cold and swampy; lies immediately south of the tundra; in spring, it is often flooded by water from northward flowing rivers, the lower reaches of which are still frozen."
talik,"a layer or body of unfrozen ground occurring in a permafrost area due to a local anomaly in thermal, hydrological, hydrogeological, or hydrochemical conditions."
tarn,a small mountain lake or pool.
telescoped ice,deformed sea ice in which one piece has overridden another; also called rafted ice.
temperature,"a physical quantity characterizing the mean random motion of molecules in a physical body; in other words, it is a measure of the degree of hotness or coldness of a substance."
temperature profile,the graphic or analytical expression of the variation in ground temperature with depth.
temperature-gradient metamorphism,snow metamorphism that occurs when there are strong differences in temperature between the bottom and top of a snow layer.
terminus,"the lowest end of a glacier, also called the glacier toe or glacier snout."
terrestrial radiation,"longwave radiation emitted by the earth, including its atmosphere."
thaw basin,a depression of the permafrost table created by naturally induced thawing.
thaw bulb,a zone of thawed ground below or surrounding a man-made structure placed on or in permafrost and maintained at temperatures above 0 degrees Celsius.
thaw consolidation,time-dependent compression resulting from thawing of frozen ground and subsequent draining of excess water.
thaw consolidation ratio,"a dimensionless ratio describing the relationship between the rate of thaw and the rate of consolidation of a thawing soil, which is considered to be a measure of the relative rates of generation and expulsion of excess water during thaw."
thaw hole,vertical hole in floating ice formed when a puddle melts through to the underlying water.
thaw penetration,the downward movement of the thawing front during thawing of frozen ground.
thaw settlement,compression of the ground due to thaw consolidation.
thaw sink,a closed thaw basin with subterranean drainage.
thaw slumping,"a slope failure mechanism characterized by the melting of ground ice, and downslope sliding and flowing of the resulting debris."
thaw strain,the amount that frozen ground compresses upon thawing.
thaw unconformity,"a boundary sometimes identified in perennially frozen ground, representing the base of a relict active layer, as well as the corresponding earlier permafrost table."
thaw weakening,the reduction in shear strength due to the decrease in effective stresses resulting from the generation and slow dissipation of excess pore pressures when frozen soils containing ice are thawing.
thaw-sensitive permafrost,"perennially frozen ground which, upon thawing, will experience significant thaw settlement and suffer loss of strength to a value significantly lower than that for similar material in an unfrozen condition."
thaw-stable permafrost,"perennially frozen ground which, upon thawing, will not experience either significant thaw settlement or loss of strength."
thawed ground,previously frozen ground in which all ice has melted.
thawing (of frozen ground),"melting of the ice in frozen ground, usually as a result of a rise in temperature."
thawing front,the advancing boundary between thawed ground and frozen ground.
thawing index,the cumulative number of degree-days above 0 degrees Celsius for a given time period.
theodolite,an optical instrument used to visually track a radiosonde balloon and determine its bearing and elevation while in flight.
thermal conductivity,the quantity of heat that will flow through a unit area of a substance in unit time under a unit temperature gradient.
thermal diffusivity,the ratio of the thermal conductivity to the volumetric heat capacity.
thermal erosion,the erosion of ice-bearing permafrost by the combined thermal and mechanical action of moving water.
thermal expansion (or contraction) coefficient,the volume change per unit volume of a substance due to a one degree change in its temperature.
thermal pile,a foundation pile on which natural convection or forced circulation cooling systems or devices have been installed to remove heat from the ground.
thermal properties of frozen ground,"the properties of the ground governing the flow of heat through it, and its freezing and thawing conditions."
thermal regime of the ground,a general term encompassing the temperature distribution and heat flows in the ground and their time-dependence.
thermal talik,a layer or body of unfrozen ground (in a permafrost area) in which the temperature is above 0 degrees Celsius due to the local thermal regime of the ground.
thermal-contraction crack,a tensile fracture resulting from thermal stresses in frozen ground.
thermal-contraction-crack ice,ice formed in thermal contraction cracks in the ground.
thermo-erosional cirque,"the usually steep, horseshoe-shaped headwall of a retrogressive thaw slump."
thermo-erosional niche,"a recess at the base of a river bank or coastal bluff, produced by thermal erosion of ice-bonded permafrost."
thermodynamic equilibrium thickness,the thickness at which ice no longer grows because it is so thick that heat from the ocean can no longer be conducted through the ice; it may take several years of growth and melt for ice to reach an equilibrium thickness.
thermodynamics,study of the links between heat and energy. First law of thermodynamics states that heat is energy and the amount of energy within a system cannot change.
thermograph,an instrument continuously recording temperature.
thermokarst,the process by which characteristic landforms result from the thawing of ice-rich permafrost or the melting of massive ice.
thermokarst lake,a lake occupying a closed depression formed by settlement of the ground following thawing of ice-rich permafrost or the melting of massive ice.
thermokarst mound,a hummock remaining after melting of the ice wedges surrounding an ice-wedge polygon.
thermokarst terrain,the often irregular topography resulting from the melting of excess ground ice and subsequent thaw settlement.
thermometer,"an instrument for measuring temperature; in meteorology, generally used to measure the temperature of the air or the soil."
thermosyphon,a passive heat transfer device installed to remove heat from the ground.
thomson crystal,"a large ice crystal found in deep, stagnant water-filled cavities of a glacier."
thufur,"perennial hummocks formed in either the active layer in permafrost areas, or in the seasonally frozen ground in non-permafrost areas, during freezing of the ground."
tide crack,"the fissure at the line of junction between an immovable icefoot or ice wall and fast ice, the latter being subject to the rise and fall of the tide."
tidewater glacier,mountain glacier that terminates in the ocean.
timber line,"(1) in mountainous regions, the line above which climatic conditions do not allow the upright growth of trees (2) the poleward limit of tree growth, also known as the tree line."
tongue,a projection of the ice edge up to several km in length caused by wind and current; usually forms when a valley glacier moves very quickly into a lake or ocean.
total annual freezing index,"the cumulative number of degree-days, calculated by adding all the negative mean daily air temperatures (degrees Celsius) for a specific station during a calendar year."
total annual thawing index,"the cumulative number of degree-days, calculated by adding all the positive mean daily air temperatures (degrees Celsius) for a specific station during a calendar year."
total water content (of frozen ground),the total amount of water (unfrozen water plus ice) contained in soil or rock.
transient talik,a layer or body of unfrozen ground (in a permafrost area) that is gradually being eliminated by freezing.
tributary glacier,a small glacier that flows into a larger glacier.
Tropic of Cancer,"the northern parallel of maximum solar declination, approximately 23° 27′ N latitude; the farthest northern latitude at which the sun can appear directly overhead, which occurs on the day of the summer solstice."
Tropic of Capricorn,"the southern parallel of maximum solar declination, approximately 23° 27′ S latitude; the farthest southern latitude at which the sun can appear directly overhead, which occurs on the day of the summer solstice."
tropopause,"the boundary layer between the troposphere and stratosphere, where an abrupt change in temperature lapse rate usually occurs; it is defined as the lowest level at which the lapse rate decreases to 2 degrees Celsius per kilometer or less, provided that the average lapse rate between this level and all higher levels within 2 kilometers does not exceed 2 degrees Celsius per kilometer; occasionally, a second tropopause may be found if the lapse rate above the first tropopause exceeds 3 degrees Celsius per kilometer."
troposphere,"lower part of the atmosphere, extending from the surface up to a height varying from about 7 to 9 kilometers (4.3 to 5.6 miles) at polar regions to approximately 17 kilometers (10.6 miles) in tropics; characterized by decreasing temperature with height, appreciable vertical wind motion, appreciable water vapor content, and weather."
trough,"in meteorology, an elongated area of relatively low atmospheric pressure; the opposite of a ridge."
tundra,"treeless terrain, with a continuous cover of vegetation, found at both high latitudes and high altitudes."
turbic cryosol,"a mineral soil showing marked evidence of cryoturbation, as indicated by broken horizons and displaced material."
turf hummock,a hummock consisting of vegetation and organic matter with or without a core of mineral soil or stones.
turf-banked (solifluction) lobe,a solifluction lobe with its front covered by a vegetation mat.
turf-banked (solifluction) terrace,a solifluction terrace with its front covered by a vegetation mat.
two-layer permafrost,ground in which two layers of permafrost are separated by a layer of unfrozen ground.
two-phase thermosyphon,"a passive heat transfer device, filled with a temperature-dependent liquid/vapour combination, installed to remove heat from the ground."
ultraviolet radiation,"electromagnetic radiation of shorter wavelength than visible radiation but longer than x-rays; roughly, radiation in the wavelength interval from 10 to 4000 angstroms."
unbreakable crust,"a hard snow surface lying upon a softer layer; may be formed by sun, rain or wind, and is described as breakable crust or unbreakable crust, depending upon wether it will break under the weight of a turning skier."
unfrozen ground,soil or rock that does not contain any ice.
unfrozen water content,the amount of unfrozen (liquid) water contained in frozen soil or rock.
uniaxial compression test,"a method to determine the short-term strength of rocks; conducted by employing a constant loading rate until failure; the failure load is used to calculate the failure stress; can also be used to determine the elastic constants of rocks (i.e. Young's modulus, Poisson's ratio)."
unstable air,air in which static instability prevails; this condition is determined by the vertical gradients of air temperature and humidity.
upper air observation,an observation made in the free atmosphere either directly or indirectly.
upper atmosphere,the general term applied to the atmosphere above the mesopause.
upward freezing,the advance of a freezing front upwards from the permafrost table during annual freezing of the active layer.
valley glacier,a mountain glacier whose flow is confined by valley walls.
vane,instrument used to measure wind direction; also called wind vane.
vapor pressure,the pressure exerted by water vapor molecules in a given volume of air.
vein ice,a comprehensive term for ice of any origin occupying cracks in permafrost.
very close pack ice,"pack ice in which the floes are tightly packed but not frozen together, with very little, if any, sea water visible; ice cover practically 10/10th."
very open pack ice,"pack ice composed of loose, widely spaced floes; ice cover 1/10th to 3/10th."
virga,precipitation that evaporates before reaching the ground.
viscosity,a measure of a fluids resistance to flow; can be thought of as a measure of fluid friction.
visibility,"the greatest distance that prominent objects can be seen and identified by unaided, normal eyes."
visualization,Tools that provide visual images of data on-the-fly.
volumetric (total) water content,"the ratio of the volume of the water and ice in a sample to the volume of the whole sample, expressed as a fraction (or, less commonly, as a percentage)."
volumetric heat capacity,the amount of heat required to raise the temperature of a unit volume of a substance by one degree.
volumetric latent heat of fusion,the amount of heat required to melt all the ice (or freeze all the pore water) in a unit volume of soil or rock.
warm front,the forward edge of an advancing warm air mass that is displacing cooler air in its path.
warm low,"at a given level in the atmosphere, any low that is generally characterized by warmer air near its center than around its periphery; the opposite of a cold low."
water sky,"the dark appearance of the underside of a cloud layer when it is over a surface of open water; it is darker than land sky, and much darker than ice blink or snow blink."
